14:15:42.699 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 16212 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
14:15:42.742 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
14:15:44.845 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
14:15:44.861 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
14:15:44.862 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:15:44.863 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
14:15:45.118 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:15:45.118 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2211 ms
14:15:46.107 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:15:46.557 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
14:15:53.085 [main] INFO  com.ntu.client2.ClientStart - 团结河节点成功连接至MQTT服务器.........
14:15:53.088 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
14:15:53.127 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
14:15:53.133 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 11.736 seconds (JVM running for 15.951)
14:16:07.766 [http-nio-8084-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1589872028,1589970932,1590040176; Hm_lpvt_eaa57ca47dacb4ad4f5a257001a3457c=1590040892] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
14:16:07.783 [http-nio-8084-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:16:07.784 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:16:07.796 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
14:16:54.408 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 12184 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
14:16:54.416 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
14:16:57.385 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
14:16:57.402 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
14:16:57.403 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:16:57.403 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
14:16:57.680 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:16:57.680 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3108 ms
14:16:59.357 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:16:59.768 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
14:16:59.832 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
14:16:59.889 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
14:17:00.086 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
14:17:07.283 [main] INFO  com.ntu.client2.ClientStart - 团结河节点成功连接至MQTT服务器.........
14:17:07.289 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
14:17:07.433 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
14:17:07.444 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 14.862 seconds (JVM running for 19.253)
14:17:24.785 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 14616 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
14:17:24.794 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
14:17:29.257 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
14:17:29.277 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
14:17:29.278 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
14:17:29.278 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
14:17:29.722 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
14:17:29.723 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4756 ms
14:17:31.274 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
14:17:31.501 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
14:17:31.536 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
14:17:31.571 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
14:17:32.035 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
14:17:38.710 [main] INFO  com.ntu.client2.ClientStart - 团结河节点成功连接至MQTT服务器.........
14:17:38.714 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
14:17:38.754 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
14:17:38.759 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 15.705 seconds (JVM running for 19.967)
14:17:48.691 [http-nio-8084-exec-1] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1589872028,1589970932,1590040176; Hm_lpvt_eaa57ca47dacb4ad4f5a257001a3457c=1590041780] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
14:17:48.710 [http-nio-8084-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
14:17:48.710 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:17:48.725 [http-nio-8084-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 15 ms
14:17:49.630 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=439, infoType=B, syncType=3, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:17:50.634 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:null
14:17:51.651 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:17:51.652 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 439 号数据同步成功....
14:18:20.645 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=440, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:21.655 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=440, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Tue May 19 13:21:33 CST 2020, conductivity=258.21, temperature=20.32, pressure=68.7, salinity=0.15, dissolvedoxygen=9.78, spad=5.89, turbidity=15.64, andan=1.5, yaxiaodan=5.3, linsuanyan=3.1, orp=2.0, infoNode=null)
14:18:21.655 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=441, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:22.657 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=441, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Wed May 20 13:21:33 CST 2020, conductivity=259.21, temperature=21.32, pressure=69.7, salinity=1.15, dissolvedoxygen=10.78, spad=6.89, turbidity=16.64, andan=2.5, yaxiaodan=6.3, linsuanyan=4.1, orp=3.0, infoNode=null)
14:18:22.658 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=442, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:22.668 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:22.668 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 440 号数据同步成功....
14:18:23.656 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=442, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Thu May 21 13:21:33 CST 2020, conductivity=260.21, temperature=22.32, pressure=70.7, salinity=2.15, dissolvedoxygen=11.78, spad=7.89, turbidity=17.64, andan=3.5, yaxiaodan=7.3, linsuanyan=5.1, orp=4.0, infoNode=null)
14:18:23.657 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=443, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:23.668 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:23.668 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 441 号数据同步成功....
14:18:24.658 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=443, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Fri May 22 13:21:33 CST 2020, conductivity=261.21, temperature=23.32, pressure=71.7, salinity=3.15, dissolvedoxygen=12.78, spad=8.89, turbidity=18.64, andan=4.5, yaxiaodan=8.3, linsuanyan=6.1, orp=5.0, infoNode=null)
14:18:24.658 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=444, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:24.667 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:24.668 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 442 号数据同步成功....
14:18:25.664 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:25.664 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 443 号数据同步成功....
14:18:25.670 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=444, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Sat May 23 13:21:33 CST 2020, conductivity=262.21, temperature=24.32, pressure=72.7, salinity=4.15, dissolvedoxygen=13.78, spad=9.89, turbidity=19.64, andan=5.5, yaxiaodan=9.3, linsuanyan=7.1, orp=6.0, infoNode=null)
14:18:25.670 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=445, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:26.657 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=445, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Sun May 24 13:21:33 CST 2020, conductivity=263.21, temperature=25.32, pressure=73.7, salinity=5.15, dissolvedoxygen=14.78, spad=10.89, turbidity=20.64, andan=6.5, yaxiaodan=10.3, linsuanyan=8.1, orp=7.0, infoNode=null)
14:18:26.657 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=446, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:26.664 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:26.664 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 444 号数据同步成功....
14:18:27.657 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=446, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Mon May 25 13:21:33 CST 2020, conductivity=264.21, temperature=26.32, pressure=74.7, salinity=6.15, dissolvedoxygen=15.78, spad=11.89, turbidity=21.64, andan=7.5, yaxiaodan=11.3, linsuanyan=9.1, orp=8.0, infoNode=null)
14:18:27.657 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=447, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:27.663 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:27.663 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 445 号数据同步成功....
14:18:28.659 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=447, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Tue May 26 13:21:33 CST 2020, conductivity=265.21, temperature=27.32, pressure=75.7, salinity=7.15, dissolvedoxygen=16.78, spad=12.89, turbidity=22.64, andan=8.5, yaxiaodan=12.3, linsuanyan=10.1, orp=9.0, infoNode=null)
14:18:28.659 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=448, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:28.700 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:28.700 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 446 号数据同步成功....
14:18:29.659 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=448, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Wed May 27 13:21:33 CST 2020, conductivity=266.21, temperature=28.32, pressure=76.7, salinity=8.15, dissolvedoxygen=17.78, spad=13.89, turbidity=23.64, andan=9.5, yaxiaodan=13.3, linsuanyan=11.1, orp=10.0, infoNode=null)
14:18:29.660 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=449, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:29.666 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:29.666 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 447 号数据同步成功....
14:18:30.659 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:BoxSensor(infoId=449, areaId=nantong, spotId=tuanjiehe1, nodeId=node1, dataTime=Thu May 28 13:21:33 CST 2020, conductivity=267.21, temperature=29.32, pressure=77.7, salinity=9.15, dissolvedoxygen=18.78, spad=14.89, turbidity=24.64, andan=10.5, yaxiaodan=14.3, linsuanyan=12.1, orp=11.0, infoNode=null)
14:18:30.659 [node2] INFO  com.ntu.client2.sync.SendThread - DataSync(infoId=450, infoType=B, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
14:18:30.665 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
14:18:30.665 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - BOX_SENSOR表中 448 号数据同步成功....
