18:00:51.019 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 3560 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
18:00:51.042 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
18:00:54.062 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
18:00:54.079 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
18:00:54.081 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
18:00:54.081 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
18:00:54.350 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
18:00:54.350 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3072 ms
18:00:55.441 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
18:00:56.013 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
18:01:02.618 [main] INFO  com.ntu.client2.ClientStart - 团结河节点成功连接至MQTT服务器.........
18:01:02.622 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
18:01:02.677 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
18:01:02.684 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 13.551 seconds (JVM running for 17.995)
18:01:12.692 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
18:01:12.927 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
18:01:13.520 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=4, areaId=45, spotId=546, nodeId=6768, dataTime=Tue May 12 20:12:07 CST 2020, dianya=768, dianliust=8900, state=0)
18:01:14.524 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
18:01:24.527 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=4, areaId=45, spotId=546, nodeId=6768, dataTime=Tue May 12 20:12:07 CST 2020, dianya=768, dianliust=8900, state=0)
18:01:25.531 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
