19:42:31.451 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 11188 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
19:42:31.459 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
19:42:33.697 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
19:42:33.711 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
19:42:33.712 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
19:42:33.713 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
19:42:33.925 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
19:42:33.926 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2259 ms
19:42:34.220 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
19:42:35.253 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
19:42:41.734 [main] INFO  com.ntu.client2.ClientStart - 团结河结点成功连接至MQTT服务器.........
19:42:41.737 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
19:42:41.777 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
19:42:41.782 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 11.538 seconds (JVM running for 14.969)
19:42:51.799 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
19:42:52.379 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:47:03.632 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 13644 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
20:47:03.641 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
20:47:07.284 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
20:47:07.310 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
20:47:07.311 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
20:47:07.312 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
20:47:07.660 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:47:07.660 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3902 ms
20:47:09.008 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
20:47:09.741 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
20:47:21.026 [main] INFO  com.ntu.client2.ClientStart - 团结河结点成功连接至MQTT服务器.........
20:47:21.031 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
20:47:21.095 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
20:47:21.105 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 19.196 seconds (JVM running for 23.67)
20:47:31.057 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:47:31.288 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:48:12.506 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:48:23.515 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:48:34.536 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:48:45.543 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:48:56.549 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:49:07.555 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:49:18.562 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:49:29.570 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:49:40.574 [node2] INFO  com.ntu.client2.sync.SendThread - 发送消息:TuanJieHeBuoyDianYa(infoId=1, areaId=sd, spotId=asd, nodeId=asd, dataTime=Tue May 05 04:48:02 CST 2020, dianya=234, dianliust=324, state=234)
20:49:41.596 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - 收到确认消息.....
20:49:41.597 [MQTT Call: tjh_node] INFO  com.ntu.client2.sync.NodeDataReceiver - TUANJIEHE_BUOY_DIANYA表中 1 号数据同步成功....
20:57:09.022 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 2224 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
20:57:09.026 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
20:57:11.005 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
20:57:11.019 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
20:57:11.020 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
20:57:11.021 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
20:57:11.281 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:57:11.282 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2090 ms
20:57:12.014 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
20:57:12.552 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
20:57:19.052 [main] INFO  com.ntu.client2.ClientStart - 团结河结点成功连接至MQTT服务器.........
20:57:19.055 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
20:57:19.092 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
20:57:19.097 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 11.655 seconds (JVM running for 15.132)
20:57:29.140 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:57:29.417 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
20:59:17.453 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 7932 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
20:59:17.467 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
20:59:20.442 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
20:59:20.460 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
20:59:20.461 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
20:59:20.462 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
20:59:20.793 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
20:59:20.793 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3157 ms
20:59:21.727 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
20:59:22.287 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
20:59:28.771 [main] INFO  com.ntu.client2.ClientStart - 团结河结点成功连接至MQTT服务器.........
20:59:28.774 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8084"]
20:59:28.812 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8084 (http) with context path ''
20:59:28.817 [main] INFO  com.ntu.client2.Node2ClientApplication - Started Node2ClientApplication in 12.853 seconds (JVM running for 16.785)
20:59:38.802 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
20:59:38.997 [node2] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22:07:51.889 [main] INFO  com.ntu.client2.Node2ClientApplication - Starting Node2ClientApplication on LAPTOP-6SA701DM with PID 2212 (C:\Users\Lenovo\Desktop\datasync\datasync_node2_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
22:07:51.892 [main] INFO  com.ntu.client2.Node2ClientApplication - No active profile set, falling back to default profiles: default
22:07:54.572 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8084 (http)
22:07:54.593 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8084"]
22:07:54.594 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
22:07:54.594 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
22:07:54.846 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:07:54.846 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2823 ms
22:07:55.749 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
22:07:56.468 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
22:08:03.046 [main] INFO  com.ntu.client2.ClientStart - 团结河结点成功连接至MQTT服务器.........
