12:41:33.986 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 10316 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
12:41:33.994 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
12:41:38.649 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
12:41:38.684 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
12:41:38.687 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
12:41:38.688 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
12:41:39.108 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:41:39.109 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4952 ms
12:41:40.561 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
12:41:41.388 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
12:41:52.507 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
12:41:52.514 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
12:41:52.606 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
12:41:52.618 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 20.1 seconds (JVM running for 26.604)
12:42:02.710 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
12:42:03.191 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
12:50:33.697 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:ChangJiangBoxSensor(infoId=10, areaId=123123, spotId=123, nodeId=123, dataTime=Wed Jun 03 20:50:16 CST 2020, conductivity=123.0, temperature=123.0, ph=123.0, salinity=123.0, dissolvedOxygen=123.0, turbidity=123.0)
12:50:35.763 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
12:50:44.701 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:ChangJiangBoxSensor(infoId=10, areaId=123123, spotId=123, nodeId=123, dataTime=Wed Jun 03 20:50:16 CST 2020, conductivity=123.0, temperature=123.0, ph=123.0, salinity=123.0, dissolvedOxygen=123.0, turbidity=123.0)
12:50:45.706 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
12:50:55.710 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:ChangJiangBoxSensor(infoId=10, areaId=123123, spotId=123, nodeId=123, dataTime=Wed Jun 03 20:50:16 CST 2020, conductivity=123.0, temperature=123.0, ph=123.0, salinity=123.0, dissolvedOxygen=123.0, turbidity=123.0)
12:50:56.713 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
12:51:06.715 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:ChangJiangBoxSensor(infoId=10, areaId=123123, spotId=123, nodeId=123, dataTime=Wed Jun 03 20:50:16 CST 2020, conductivity=123.0, temperature=123.0, ph=123.0, salinity=123.0, dissolvedOxygen=123.0, turbidity=123.0)
12:51:07.719 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
12:51:17.723 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:ChangJiangBoxSensor(infoId=10, areaId=123123, spotId=123, nodeId=123, dataTime=Wed Jun 03 20:50:16 CST 2020, conductivity=123.0, temperature=123.0, ph=123.0, salinity=123.0, dissolvedOxygen=123.0, turbidity=123.0)
12:51:18.725 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
12:54:17.816 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:ChangJiangBoxSensor(infoId=10, areaId=123123, spotId=123, nodeId=123, dataTime=Wed Jun 03 20:50:16 CST 2020, conductivity=123.0, temperature=123.0, ph=123.0, salinity=123.0, dissolvedOxygen=123.0, turbidity=123.0)
12:54:18.820 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
12:54:18.820 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - CHANGJIANG_BOX_SENSOR表中 10 号数据同步成功....
12:55:47.287 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 2492 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
12:55:47.294 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
12:55:50.774 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
12:55:50.791 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
12:55:50.791 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
12:55:50.792 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
12:55:51.129 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:55:51.129 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3646 ms
12:55:51.891 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
12:55:52.510 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
12:55:59.029 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - -----------连接断开-----------
12:55:59.029 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
12:55:59.045 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - -----------连接断开-----------
12:55:59.046 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
12:55:59.047 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
12:55:59.051 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
12:55:59.068 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Pausing ProtocolHandler ["http-nio-8083"]
12:55:59.069 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
12:55:59.077 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8083"]
12:55:59.077 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Destroying ProtocolHandler ["http-nio-8083"]
12:55:59.080 [main] INFO  org.springframework.boot.autoconfigure.logging.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
12:55:59.093 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
12:56:04.111 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - -----------连接断开-----------
12:56:04.112 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
12:56:09.113 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - -----------连接断开-----------
12:56:09.113 [MQTT Rec: cj_node] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
