21:23:15.435 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 9308 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
21:23:15.442 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
21:23:19.641 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
21:23:19.657 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
21:23:19.665 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
21:23:19.665 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
21:23:20.000 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
21:23:20.000 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4416 ms
21:23:21.765 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
21:23:22.512 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
21:23:29.775 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
21:23:29.781 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
21:23:29.863 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
21:23:29.874 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 16.246 seconds (JVM running for 21.579)
21:23:39.976 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
21:23:40.929 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
21:25:31.691 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:AreaSpot(infoId=5, areaName=null, areaId=321, spotId=123, spotName=123, spotUrl=213, spotHistoryurl=34, spotObserargs=56, spotObsermeth=null, spotPosinfo=null, spotRuntime=null, spotIntro=435)
21:25:32.702 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
21:25:32.703 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - AREA_SPOT表中 5 号数据同步成功....
21:25:42.694 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:AreaSpot(infoId=6, areaName=null, areaId=456, spotId=546, spotName=45, spotUrl=456, spotHistoryurl=657, spotObserargs=99, spotObsermeth=890, spotPosinfo=56, spotRuntime=null, spotIntro=768)
21:25:43.698 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
