12:59:22.176 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 12720 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
12:59:22.183 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
12:59:25.581 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
12:59:25.599 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
12:59:25.601 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
12:59:25.601 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
12:59:25.878 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
12:59:25.878 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3420 ms
12:59:27.268 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
12:59:27.552 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
12:59:27.583 [main] INFO  springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper - Found 1 custom documentation plugin(s)
12:59:27.608 [main] INFO  springfox.documentation.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
12:59:27.958 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
12:59:34.454 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
12:59:34.457 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
12:59:34.499 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
12:59:34.503 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 13.781 seconds (JVM running for 17.363)
13:00:05.607 [node1] INFO  com.ntu.node.sync.SendThread - DataSync(infoId=41, infoType=P, syncType=4, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
13:00:06.332 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:SpotNode(infoId=41, nodeId=3423423, spotId=234, areaId=324, nodeName=234, nodeType=234mm, nodeNote=456462222, infoNode=null)
13:00:10.351 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
13:00:10.352 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - SPOT_NODE表中 41 号数据同步成功....
13:23:43.124 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 12784 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
