23:15:10.164 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 15456 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
23:15:10.172 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
23:15:13.191 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
23:15:13.209 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
23:15:13.209 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
23:15:13.211 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
23:15:13.473 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
23:15:13.473 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3127 ms
23:15:14.528 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
23:15:15.254 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
23:15:22.174 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
23:15:22.179 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
23:15:22.220 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
23:15:22.225 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 13.69 seconds (JVM running for 17.326)
23:15:32.273 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
23:15:32.576 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
23:19:13.009 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 3192 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
23:19:13.021 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
23:19:16.294 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
23:19:16.312 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
