13:50:26.412 [main] INFO  com.ntu.node.Node1ClientApplication - Starting Node1ClientApplication on LAPTOP-6SA701DM with PID 13016 (C:\Users\Lenovo\Desktop\datasync\datasync_node1_client\target\classes started by Lenovo in C:\Users\Lenovo\Desktop\datasync)
13:50:26.420 [main] INFO  com.ntu.node.Node1ClientApplication - No active profile set, falling back to default profiles: default
13:50:28.966 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8083 (http)
13:50:28.983 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8083"]
13:50:28.985 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
13:50:28.985 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
13:50:29.222 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13:50:29.223 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2675 ms
13:50:30.027 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
13:50:30.523 [main] INFO  com.ntu.common.client.EMQTTClient - connecting to server: ssl://127.0.0.1:8883
13:50:37.019 [main] INFO  com.ntu.node.ClientStart - 长江结点成功连接至MQTT服务器.........
13:50:37.023 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8083"]
13:50:37.061 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8083 (http) with context path ''
13:50:37.067 [main] INFO  com.ntu.node.Node1ClientApplication - Started Node1ClientApplication in 12.007 seconds (JVM running for 15.85)
13:50:47.178 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:50:47.571 [node1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13:51:17.790 [node1] INFO  com.ntu.node.sync.SendThread - DataSync(infoId=50, infoType=M, syncType=1, syncStatus=1, successTime=null, failTime=null, failCount=0, syncMsg=未开始数据同步, infoNode=null)
13:51:18.939 [node1] INFO  com.ntu.node.sync.SendThread - 发送消息:MonitorData(infoId=50, areaId=nantong, spotId=changjiang, nodeId=node1, dataTime=Fri Sep 01 00:00:00 CST 2017, conductivity=21313.0, temperature=28.69, ph=8.18, salinity=0.12, dissolvedOxygen=9.38, turbidity=93.89, areaName=null)
13:51:22.929 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - 收到确认消息.....
13:51:22.929 [MQTT Call: cj_node] INFO  com.ntu.node.sync.NodeDataReceiver - MONITOR_DATA表中 50 号数据同步成功....
